iter	Accuracy	Logloss
0	0.7929292929	0.6160467726
1	0.8097643098	0.5581817735
2	0.8164983165	0.5117430349
3	0.8148148148	0.4868068193
4	0.8164983165	0.464224763
5	0.8198653199	0.4470512581
6	0.835016835	0.4220170704
7	0.8417508418	0.4122821244
8	0.8400673401	0.4038285355
9	0.8400673401	0.3994278173
10	0.8400673401	0.397517055
11	0.8417508418	0.3930757698
12	0.8434343434	0.3904048119
13	0.8518518519	0.3849575684
14	0.8585858586	0.3771422623
15	0.8636363636	0.3742790451
16	0.8602693603	0.3667647899
17	0.8636363636	0.3628074124
18	0.867003367	0.3591630703
19	0.8754208754	0.3531752363
20	0.8737373737	0.3408426354
21	0.8787878788	0.3357339888
22	0.8771043771	0.334712806
23	0.8804713805	0.3306712408
24	0.8804713805	0.3252610951
25	0.8821548822	0.3245178534
26	0.8821548822	0.3223632811
27	0.8855218855	0.319859218
28	0.8872053872	0.318601276
29	0.8888888889	0.3171534289
30	0.8905723906	0.3138613098
31	0.8905723906	0.313220235
32	0.8905723906	0.3106789303
33	0.8905723906	0.3083874954
34	0.8939393939	0.3063149665
35	0.8939393939	0.3045548411
36	0.8939393939	0.3041052785
37	0.8956228956	0.3006211962
38	0.8956228956	0.2997342761
39	0.8956228956	0.2985639401
40	0.8973063973	0.29772003
41	0.8956228956	0.2967220373
42	0.898989899	0.2928093434
43	0.904040404	0.2912550373
44	0.904040404	0.2862793976
45	0.904040404	0.2857606846
46	0.9074074074	0.283494304
47	0.9074074074	0.2834852975
48	0.9074074074	0.28291594
49	0.9090909091	0.2800731291
50	0.9107744108	0.2770794628
51	0.9107744108	0.2747498565
52	0.9124579125	0.2738986603
53	0.9124579125	0.2696668655
54	0.9124579125	0.2679620323
55	0.9124579125	0.2659533035
56	0.9124579125	0.2655392844
57	0.9124579125	0.2646178079
58	0.9124579125	0.2630615637
59	0.9141414141	0.2604018764
60	0.9158249158	0.2596560392
61	0.9175084175	0.2577488903
62	0.9175084175	0.2571955192
63	0.9158249158	0.256571821
64	0.9158249158	0.2558859861
65	0.9141414141	0.2532261097
66	0.9208754209	0.2498107641
67	0.9208754209	0.2495434637
68	0.9208754209	0.2483895527
69	0.9225589226	0.2460717708
70	0.9242424242	0.243524516
71	0.9259259259	0.2366820093
72	0.9242424242	0.23404484
73	0.9259259259	0.2326749979
74	0.9259259259	0.2315471061
75	0.9259259259	0.2309413865
76	0.9292929293	0.2290945838
77	0.9276094276	0.2268949314
78	0.9292929293	0.225324248
79	0.930976431	0.2225815195
80	0.9343434343	0.2213418655
81	0.9377104377	0.2195692842
82	0.9393939394	0.2188618972
83	0.9377104377	0.2185693251
84	0.936026936	0.2180525946
85	0.936026936	0.2176706347
86	0.936026936	0.2173568728
87	0.936026936	0.2154390862
88	0.9377104377	0.2108788582
89	0.9377104377	0.2100179162
90	0.9377104377	0.2064717516
91	0.9427609428	0.2058397374
92	0.9444444444	0.2039727165
93	0.9461279461	0.2014199265
94	0.9478114478	0.2001777941
95	0.9461279461	0.1991351786
96	0.9478114478	0.1974693732
97	0.9478114478	0.1951611347
98	0.9478114478	0.1927926473
99	0.9478114478	0.1918354464
100	0.9478114478	0.1884555597
101	0.9511784512	0.1849758948
102	0.9494949495	0.1837130644
103	0.9494949495	0.1836124105
104	0.9494949495	0.1819980563
105	0.9511784512	0.1811598201
106	0.9511784512	0.1792030367
107	0.9511784512	0.1778060722
108	0.9511784512	0.1769364499
109	0.9511784512	0.1763980071
110	0.9511784512	0.1757538363
111	0.9511784512	0.1753149827
112	0.9511784512	0.1738556686
113	0.9494949495	0.1723767209
114	0.9511784512	0.1712321065
115	0.9511784512	0.1692194392
116	0.9528619529	0.1682917148
117	0.9528619529	0.1678101186
118	0.9528619529	0.1660983551
119	0.9528619529	0.1656006235
120	0.9528619529	0.1650946072
121	0.9528619529	0.1635924278
122	0.9528619529	0.162925452
123	0.9545454545	0.1620416504
124	0.9562289562	0.160344649
125	0.9562289562	0.1599783098
126	0.9562289562	0.1595835933
127	0.9579124579	0.1586821909
128	0.9579124579	0.1558687578
