iter	Passed	Remaining
0	14	7036
1	18	4662
2	21	3544
3	35	4404
4	53	5330
5	58	4777
6	65	4600
7	72	4451
8	78	4262
9	84	4126
10	90	4015
11	97	3959
12	102	3836
13	107	3744
14	113	3661
15	119	3599
16	124	3528
17	129	3454
18	131	3337
19	138	3319
20	143	3270
21	148	3232
22	154	3210
23	159	3169
24	164	3133
25	171	3131
26	175	3066
27	178	3003
28	181	2942
29	185	2901
30	189	2873
31	195	2857
32	202	2860
33	204	2797
34	212	2822
35	219	2833
36	226	2830
37	232	2826
38	237	2812
39	244	2810
40	249	2798
41	255	2780
42	259	2757
43	264	2736
44	268	2718
45	272	2692
46	278	2688
47	283	2673
48	289	2664
49	295	2658
50	300	2647
51	304	2623
52	311	2625
53	317	2621
54	321	2598
55	327	2593
56	333	2591
57	339	2584
58	345	2586
59	352	2588
60	360	2595
61	367	2595
62	375	2602
63	379	2587
64	385	2582
65	394	2594
66	401	2595
67	408	2598
68	416	2603
69	423	2603
70	429	2594
71	436	2593
72	444	2602
73	454	2614
74	464	2634
75	474	2647
76	483	2656
77	489	2650
78	496	2646
79	502	2640
80	509	2636
81	516	2632
82	522	2624
83	528	2619
84	537	2622
85	544	2620
86	550	2612
87	558	2614
88	565	2612
89	573	2612
90	579	2603
91	584	2592
92	592	2590
93	598	2583
94	605	2582
95	612	2578
96	619	2574
97	624	2563
98	631	2559
99	639	2556
100	647	2556
101	654	2553
102	660	2546
103	666	2539
104	673	2533
105	680	2529
106	688	2530
107	695	2523
108	702	2521
109	709	2516
110	716	2512
111	727	2521
112	738	2529
113	753	2550
114	765	2563
115	777	2575
116	785	2571
117	796	2578
118	805	2578
119	814	2579
120	827	2590
121	837	2596
122	850	2605
123	859	2606
124	867	2601
125	873	2594
126	882	2590
127	892	2594
128	902	2596
129	911	2593
130	919	2589
131	927	2584
132	935	2580
133	942	2574
134	951	2571
135	956	2560
136	962	2549
137	968	2540
138	976	2535
139	983	2528
140	991	2524
141	997	2514
142	1002	2503
143	1010	2498
144	1018	2493
145	1025	2485
146	1031	2477
147	1039	2471
148	1044	2461
149	1051	2452
150	1056	2442
151	1061	2430
152	1066	2418
153	1071	2407
154	1075	2394
155	1081	2385
156	1084	2370
157	1089	2359
158	1094	2347
159	1098	2334
160	1110	2337
161	1116	2330
162	1123	2322
163	1129	2313
164	1133	2300
165	1139	2291
166	1145	2285
167	1150	2273
168	1154	2261
169	1159	2251
170	1163	2239
171	1169	2230
172	1172	2216
173	1177	2205
174	1180	2192
175	1187	2185
176	1191	2174
177	1198	2167
178	1206	2163
179	1212	2155
180	1217	2146
181	1223	2138
182	1229	2130
183	1235	2122
184	1240	2111
185	1246	2103
186	1252	2096
187	1258	2087
188	1262	2076
189	1267	2068
190	1271	2057
191	1277	2049
192	1282	2039
193	1287	2030
194	1293	2023
195	1299	2015
196	1305	2007
197	1311	1999
198	1316	1990
199	1320	1981
200	1327	1975
201	1334	1968
202	1337	1957
203	1343	1949
204	1348	1940
205	1351	1928
206	1356	1920
207	1360	1909
